player_name,position,gw,new_photo,total_points
Emiliano Martínez,GK,15,98980,10
Aaron Cresswell,DEF,15,55459,4
Andrew Robertson,DEF,15,122798,2
Ezri Konsa Ngoyo,DEF,15,199798,1
Mohamed Salah,MID,15,118748,2
Mateusz Klich,MID,15,72222,3
Kevin De Bruyne,MID,15,61366,3
Pedro Lomba Neto,MID,15,247632,6
Roberto Firmino,FWD,15,92217,2
Ollie Watkins,FWD,15,178301,11
Harry Kane,FWD,15,78830,2
Alisson Ramses Becker,GK,16,116535,6
Andrew Robertson,DEF,16,122798,9
Joel Matip,DEF,16,60914,0
Kurt Zouma,DEF,16,103192,0
Bruno Miguel Borges Fernandes,MID,16,141746,6
James Ward-Prowse,MID,16,101178,3
Jack Grealish,MID,16,114283,2
Marcus Rashford,MID,16,176297,7
Patrick Bamford,FWD,16,106617,8
Jamie Vardy,FWD,16,101668,1
Che Adams,FWD,16,200439,1
Bernd Leno,GK,17,80201,7
Andrew Robertson,DEF,17,122798,1
Kieran Tierney,DEF,17,192895,18
Matt Targett,DEF,17,169359,1
Wilfried Zaha,MID,17,82403,3
Mohamed Salah,MID,17,118748,2
Sadio Mané,MID,17,110979,2
Bruno Miguel Borges Fernandes,MID,17,141746,10
Timo Werner,FWD,17,165153,2
Jamie Vardy,FWD,17,101668,5
Patrick Bamford,FWD,17,106617,2
Illan Meslier,GK,20,437495,3
Luke Ayling,DEF,20,66588,2
Stuart Dallas,DEF,20,87873,2
Andrew Robertson,DEF,20,122798,2
Jack Grealish,MID,20,114283,8
Bruno Miguel Borges Fernandes,MID,20,141746,2
Mason Mount,MID,20,184341,1
Kevin De Bruyne,MID,20,61366,0
Timo Werner,FWD,20,165153,0
Tammy Abraham,FWD,20,173879,1
Harry Kane,FWD,20,78830,1
Ederson Santana de Moraes,GK,21,121160,6
Rúben Santos Gato Alves Dias,DEF,21,171314,8
Yerry Mina,DEF,21,164511,1
Andrew Robertson,DEF,21,122798,2
Bruno Miguel Borges Fernandes,MID,21,141746,3
Jack Grealish,MID,21,114283,6
Wilfried Zaha,MID,21,82403,2
Ademola Lookman,MID,21,219352,2
Timo Werner,FWD,21,165153,2
Dominic Calvert-Lewin,FWD,21,177815,2
Patrick Bamford,FWD,21,106617,15
Ederson Santana de Moraes,GK,22,121160,5
João Pedro Cavaco Cancelo,DEF,22,121145,6
John Stones,DEF,22,97299,6
Aaron Cresswell,DEF,22,55459,1
Ademola Lookman,MID,22,219352,2
Wilfried Zaha,MID,22,82403,1
James Maddison,MID,22,172780,11
Jack Grealish,MID,22,114283,6
Ollie Watkins,FWD,22,178301,6
Callum Wilson,FWD,22,75115,5
Dominic Calvert-Lewin,FWD,22,177815,9
Edouard Mendy,GK,23,228286,3
Benjamin Chilwell,DEF,23,172850,2
Matt Targett,DEF,23,169359,7
Aaron Cresswell,DEF,23,55459,9
Jack Grealish,MID,23,114283,2
Leandro Trossard,MID,23,116216,1
Jack Harrison,MID,23,221399,9
James Maddison,MID,23,172780,2
Timo Werner,FWD,23,165153,10
Patrick Bamford,FWD,23,106617,6
Ollie Watkins,FWD,23,178301,9
